x,y,existing_z_m,design_z_m,cut_fill_m,field_zone
1009.865,954.526,119.32677363318838,106.52500086801973,12.80177276516865,Heavy Cut > 2.0 m
1010.865,954.526,118.872363306473,106.54152489083577,12.330838415637231,Heavy Cut > 2.0 m
1011.865,954.526,118.41795297975764,106.54493684799336,11.873016131764288,Heavy Cut > 2.0 m
1012.865,954.526,117.94264689960745,106.53099779275999,11.411649106847463,Heavy Cut > 2.0 m
1013.865,954.526,117.51358228369904,106.49592677764406,11.017655506054979,Heavy Cut > 2.0 m
1014.865,954.526,117.14870041224661,106.44953166382243,10.699168748424185,Heavy Cut > 2.0 m
1015.865,954.526,116.78381854079419,106.40358714258129,10.3802313982129,Heavy Cut > 2.0 m
1016.865,954.526,116.41893666934175,106.3569341055333,10.062002563808448,Heavy Cut > 2.0 m
1017.865,954.526,116.17442603794909,106.3013697214584,9.87305631649069,Heavy Cut > 2.0 m
1018.865,954.526,115.93713766157056,106.22687468503113,9.710262976539425,Heavy Cut > 2.0 m
1019.865,954.526,115.68710446471013,106.13892690605726,9.548177558652867,Heavy Cut > 2.0 m
1020.865,954.526,115.41533811689476,106.07192085404577,9.343417262848988,Heavy Cut > 2.0 m
1021.865,954.526,115.15288080207458,106.0482187195131,9.104662082561475,Heavy Cut > 2.0 m
1022.865,954.526,114.94679244492826,106.02215032570044,8.924642119227826,Heavy Cut > 2.0 m
1023.865,954.526,114.74070408778195,105.83324904193881,8.907455045843136,Heavy Cut > 2.0 m
1024.865,954.526,115.868,105.27998393484069,10.588016065159309,Heavy Cut > 2.0 m
1025.865,954.526,115.868,104.4863612056634,11.381638794336595,Heavy Cut > 2.0 m
1026.865,954.526,115.868,103.89951450615058,11.968485493849414,Heavy Cut > 2.0 m
1027.865,954.526,111.857,103.67379481614148,8.183205183858519,Heavy Cut > 2.0 m
1028.865,954.526,111.857,103.63137570116825,8.225624298831747,Heavy Cut > 2.0 m
1029.865,954.526,111.857,103.62959129829187,8.227408701708129,Heavy Cut > 2.0 m
1030.865,954.526,111.857,103.62768931046219,8.229310689537812,Heavy Cut > 2.0 m
1031.865,954.526,111.857,103.61793050595497,8.239069494045026,Heavy Cut > 2.0 m
1032.865,954.526,111.857,103.59920633870928,8.25779366129072,Heavy Cut > 2.0 m
1033.865,954.526,111.857,103.57818711757638,8.278812882423622,Heavy Cut > 2.0 m
1034.865,954.526,111.857,103.56450838140972,8.292491618590276,Heavy Cut > 2.0 m
