peg_id,point_type,chainage_m,x,y,existing_z_m,design_z_m,cut_fill_m
Gabion_Toe_CH062,Gabion_Toe,62.94382145073658,1037.667320802589,975.6406550488116,,,
Gabion_Toe_CH063,Gabion_Toe,63.44373982870085,1038.0024379438717,975.2696902442208,,,
Gabion_Toe_CH063,Gabion_Toe,63.94351921269084,1038.3494709597808,974.9100410838848,,,
Gabion_Toe_CH064,Gabion_Toe,64.44310677640927,1038.728364844366,974.5844229669964,,,
Gabion_Toe_CH064,Gabion_Toe,64.94292682451177,1039.1312536870416,974.2886178606632,,,
Gabion_Toe_CH065,Gabion_Toe,65.44284175819512,1039.544843230741,974.0078000722984,,,
Gabion_Toe_CH065,Gabion_Toe,65.94274529777707,1039.9568401373372,973.7246709536232,,,
Gabion_Toe_CH066,Gabion_Toe,66.44249408647002,1040.354285581955,973.4217089587252,,,
Gabion_Toe_CH066,Gabion_Toe,66.94183497825676,1040.7190314591733,973.0806785036884,,,
Gabion_Toe_CH067,Gabion_Toe,67.44050139293044,1041.0225336446283,972.6850086709396,,,
Gabion_Toe_CH067,Gabion_Toe,67.93862305727875,1041.2296137962246,972.2319711412492,,,
Gabion_Toe_CH068,Gabion_Toe,68.4373980112202,1041.321377325009,971.7417100786872,,,
